conversation_num,batch_num,round_num,speaker_hash,speaker_nickname,timestamp,message,majority_pct,num_flipped,flipped_pct,num_votes,message_lower_with_punc,num_words,num_chars,num_messages,info_exchange_zscore_chats,info_exchange_zscore_conversation,discrepancies,hear,home,conjunction,certainty,inclusive,bio,achievement,adverbs,anxiety,third_person,negation,swear,death,health,see,body,family,negative_affect,quantifier,positive_affect,insight,humans,present_tense,future_tense,past_tense,relative,sexual,inhibition,sadness,social,indefinite_pronoun,religion,work,money,causation,anger,first_person_singular,feel,tentativeness,exclusive,verbs,friends,article,argue,auxiliary_verbs,cognitive_mech,preposition,first_person_plural,percept,second_person,positive_words,first_person,nltk_english_stopwords,hedge_words,num_question_naive,NTRI,word_TTR,first_pronouns_proportion,function_word_accommodation,content_word_accommodation,hedge_naive,textblob_subjectivity,textblob_polarity,dale_chall_score,dale_chall_classification,time_diff,please,please_start,hashedge,indirect_btw,hedges,factuality,deference,gratitude,apologizing,1st_person_pl,1st_person,1st_person_start,2nd_person,2nd_person_start,indirect_greeting,direct_question,direct_start,haspositive,hasnegative,subjunctive,indicative
0,0,0,5e7e1e0031f4e454e196c30b,niceRhino,2020-04-20 18:28:50.848000+00:00,yes i think his feeling makes sense to me to who doesnt want to be independent,1.0,1,0.333333333,3,"yes, i think his feeling makes sense to me to. who doesn't want to be independent.",16,78,1,-0.08504531979266268,-0.14687068883652768,0.01,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000000000000002,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.02,0.0,0.02,0.01,0.0,0.0,0.049999999999999996,0.0,0.0,0.01,0.02,0.060000000000000005,0.030000000000000002,0.0,0.01,0.0,0.0,0.02,0.08,0.0,1,0,0.875,0.125,4,0.01639344262295082,0,0.125,0.0,5.416975,medium,20.211,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
0,0,0,5e31d6e4e31c5304c46f1413,culturedCow,2020-04-20 18:28:51.159000+00:00,i was conflicted because i could understand his frustration however i feel he should have maybe discussed strategies with how to approach the mother in law with his wife first,1.0,1,0.333333333,3,i was conflicted because i could understand his frustration however i feel he should have maybe discussed strategies with how to approach the mother in law with his wife first.,30,175,1,1.043819398718365,0.9207055009859746,0.02,0.0,0.0,0.030000000000000002,4.683999999999999,0.02,0.0,0.02,0.030000000000000002,0.0,0.030000000000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.02,0.0,0.030000000000000002,0.01,0.01,0.030000000000000002,0.0,0.01,0.0,0.060000000000000005,0.0,0.0,0.0,0.0,0.02,0.01,0.030000000000000002,0.01,0.01,0.0,0.060000000000000005,0.0,0.01,0.01,0.04,0.11000000000000001,0.04,0.0,0.01,0.0,0.0,0.030000000000000002,0.16,0.01,0,0,0.8666666666666667,0.1,3,0.04918032786885246,1,0.3333333333333333,0.25,1.488,easy,0.311,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
0,0,0,5e84cc3c50f6e364321d6265,smallGiraffe,2020-04-20 18:28:59.058000+00:00,his mil has been here for 8 years you would think shed pick up some english by now,1.0,1,0.333333333,3,his mil has been here for 8 years. you would think she'd pick up some english by now.,18,82,1,0.26229767051842273,0.18161429264731918,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.02,0.01,0.01,0.029999999999999995,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.04,0.0,0.0,0.0,0.029999999999999995,0.04,0.029999999999999995,0.0,0.0,0.01,0.0,0.0,0.09999999999999999,0.0,0,0,1.0,0.0,1,0.0,0,0.0,0.0,0.8927999999999999,easy,7.899,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
0,0,0,5e7e4f4c31f4e454e196c9c4,spryBison,2020-04-20 18:29:00.317000+00:00,i think he had every right to want to help his mother in law,1.0,1,0.333333333,3,i think he had every right to want to help his mother in law,14,60,1,-0.17188106737043404,-0.2289919342074894,0.01,0.0,0.0,0.0,4.28,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.02,0.0,0.01,0.02,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.01,0.04,0.03,0.0,0.0,0.0,0.01,0.01,0.06999999999999999,0.0,0,0,0.9285714285714286,0.07142857142857142,1,0.02857142857142857,0,0.5357142857142857,0.2857142857142857,0.6944,easy,1.259,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,5e7e1e0031f4e454e196c30b,niceRhino,2020-04-20 18:29:03.788000+00:00,i also agree with culturedcow,1.0,1,0.333333333,3,i also agree with culturedcow,5,29,1,-0.9534027955703762,-0.9680831425461448,0.0,0.0,0.0,0.009999999999999998,0.0,0.009999999999999998,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.009999999999999998,0.0,0.0,0.0,0.0,0.009999999999999998,0.019999999999999997,0.0,0,0,1.0,0.2,0,0.01639344262295082,0,0.0,0.0,0.248,easy,3.471,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,5d482ea421c9be351f762255,youngLion,2020-04-20 18:29:13.705000+00:00,i dont think hes an asshole i think his request is reasonable if you go to live in a foreign country you should learn the language,1.0,1,0.333333333,3,"i don't think he's an asshole. i think his request is reasonable. if you go to live in a foreign country, you should learn the language.",26,130,1,0.7833121559850509,0.6743417648730895,0.02,0.0,0.0,0.01,4.28,0.0,0.0,0.0,0.0,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.060000000000000005,0.01,0.0,0.030000000000000002,0.0,0.0,0.0,0.060000000000000005,0.0,0.0,0.01,0.0,0.01,0.01,0.02,0.0,0.01,0.01,0.07,0.0,0.030000000000000002,0.0,0.04,0.060000000000000005,0.02,0.0,0.0,0.02,0.02,0.02,0.13,0.0,0,0,0.8846153846153846,0.07692307692307693,0,0.03278688524590164,0,0.4083333333333334,0.07045454545454545,1.2895999999999999,easy,9.917,0,0,1,0,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0
0,0,0,5d6feec65f80ae21f5c5f054,spryOrangutan,2020-04-20 18:29:25.384000+00:00,i think the guy is an asshole because for all his talk about how easy it is to use resources to learn a language he didnt take the time to research why some people do not,1.0,1,0.333333333,3,"i think the guy is an asshole because for all his talk about how easy it is to use resources to learn a language, he didn't take the time to research why some people do not.",36,170,1,1.7385053793405358,1.577675463953668,0.0,0.0,0.0,0.02,4.28,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.02,0.02,0.06,0.0,0.01,0.01,0.0,0.0,0.0,0.06,0.01,0.0,0.03,0.0,0.04,0.01,0.01,0.0,0.01,0.01,0.06999999999999999,0.0,0.04,0.01,0.04,0.09,0.049999999999999996,0.0,0.0,0.0,0.02,0.01,0.22,0.0,0,0,0.8888888888888888,0.027777777777777776,10,0.37111429648173566,0,0.8333333333333334,0.43333333333333335,1.7855999999999999,easy,11.679,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
0,0,0,5e7e1e0031f4e454e196c30b,niceRhino,2020-04-20 18:29:27.170000+00:00,i think he also tried to utilize other resources such as language learning apps to help her learn,1.0,1,0.333333333,3,i think he also tried to utilize other resources such as language learning apps to help her learn,18,97,1,0.17546192294065138,0.09949304727635748,0.0,0.0,0.0,0.02,4.28,0.0,0.0,0.01,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.03,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.03,0.03,0.0,0.0,0.0,0.0,0.01,0.08,0.0,0,0,0.9444444444444444,0.05555555555555555,3,0.6699648711943793,0,0.4375,-0.0625,0.8927999999999999,easy,1.786,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,5e31d6e4e31c5304c46f1413,culturedCow,2020-04-20 18:29:48.376000+00:00,i think also he needs to understand that language learning is not the same for everyone not everyone has the same capacity to learn new languages quickly,1.0,1,0.333333333,3,"i think also he needs to understand that language learning is not the same for everyone, not everyone has the same capacity to learn new languages quickly.",27,153,1,0.9569836511405936,0.8385842556150129,0.01,0.0,0.0,0.01,6.09,0.0,0.0,0.0,0.02,0.0,0.01,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.04,0.0,0.05,0.0,0.0,0.03,0.0,0.0,0.0,0.05,0.03,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.05,0.0,0.02,0.0,0.02,0.09,0.03,0.0,0.0,0.0,0.0,0.01,0.13999999999999999,0.0,0,0,0.8148148148148148,0.037037037037037035,3,0.6477426489721572,0,0.30113636363636365,0.11742424242424242,1.3392,easy,21.206,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
0,0,0,5d482ea421c9be351f762255,youngLion,2020-04-20 18:29:55.355000+00:00,maybe she does have a problem with learning languages but she could at least try,1.0,1,0.333333333,3,"maybe she does have a problem with learning languages, but she could at least try.",15,80,1,0.0017904277851086814,-0.06474944346556595,0.020000000000000004,0.0,0.0,0.010000000000000002,3.79,0.010000000000000002,0.0,0.010000000000000002,0.010000000000000002,0.0,0.020000000000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.0,0.010000000000000002,0.0,0.03,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.03,0.0,0.0,0.010000000000000002,0.0,0.0,0.0,0.0,0.0,0.010000000000000002,0.010000000000000002,0.04000000000000001,0.0,0.010000000000000002,0.010000000000000002,0.03,0.06,0.020000000000000004,0.0,0.0,0.0,0.010000000000000002,0.0,0.08000000000000002,0.010000000000000002,0,0,0.9333333333333333,0.0,0,0.7,1,0.4,-0.3,0.744,easy,6.979,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,0,0,5e7e4f4c31f4e454e196c9c4,spryBison,2020-04-20 18:30:01.417000+00:00,after the edit he done it made it sound like he really loves his family,1.0,1,0.333333333,3,after the edit he done it made it sound like he really loves his family,15,71,1,0.0017904277851086814,-0.06474944346556595,0.0,0.01,0.01,0.0,6.175,0.0,0.01,0.0,0.01,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.02,0.0,0.0,0.01,0.0,0.02,0.01,0.01,0.0,0.0,0.05,0.02,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.03,0.0,0.01,0.01,0.01,0.02,0.01,0.0,0.01,0.0,0.02,0.0,0.06999999999999999,0.0,0,0,0.8666666666666667,0.0,0,0.0,0,0.30000000000000004,0.30000000000000004,0.744,easy,6.062,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
0,0,0,5d482ea621c9be351f762ae5,culturedBear,2020-04-20 18:30:08.967000+00:00,i dont think the guy is wrong in asking her to learn more english being that she lives in america but he has to understand she is older and may not have the patience or capacity to learn a lot of english,1.0,1,0.333333333,3,"i don't think the guy is wrong in asking her to learn more english being that she lives in america, but he has to understand she is older and may not have the patience or capacity to learn a lot of english.",42,203,1,2.2595198648071637,2.0704029361794385,0.0,0.0,0.0,0.029999999999999995,5.3475,0.009999999999999998,0.0,0.0,0.0,0.0,0.039999999999999994,0.019999999999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.009999999999999998,0.019999999999999997,0.0,0.039999999999999994,0.009999999999999998,0.06999999999999999,0.009999999999999998,0.0,0.039999999999999994,0.0,0.0,0.0,0.05999999999999999,0.009999999999999998,0.0,0.019999999999999997,0.0,0.0,0.0,0.009999999999999998,0.0,0.029999999999999995,0.029999999999999995,0.09,0.0,0.029999999999999995,0.019999999999999997,0.06999999999999999,0.09999999999999999,0.05999999999999999,0.0,0.0,0.0,0.019999999999999997,0.009999999999999998,0.24999999999999997,0.0,0,0,0.8095238095238095,0.023809523809523808,3,0.0,0,0.3466666666666666,0.03333333333333333,2.0831999999999997,easy,7.55,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0
0,0,0,5d6feec65f80ae21f5c5f054,spryOrangutan,2020-04-20 18:30:11.191000+00:00,learning a second language is easiest when youre a child for a reason your brain is wired differently then which makes it easier,1.0,1,0.333333333,3,"learning a second language is easiest when you're a child for a reason. your brain is wired differently then, which makes it easier.",23,128,1,0.6964764084072795,0.5922205195021277,0.0,0.0,0.0,0.02,5.4,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.02,0.01,0.04,0.0,0.0,0.02,0.0,0.0,0.0,0.04,0.02,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.04,0.0,0.03,0.0,0.03,0.03,0.01,0.0,0.0,0.02,0.05,0.0,0.11,0.0,0,0,0.8695652173913043,0.0,5,0.0,0,0.3,0.0,1.1408,easy,2.224,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
0,0,0,5e84cc3c50f6e364321d6265,smallGiraffe,2020-04-20 18:30:20.031000+00:00,i think he tried to help her  he gave her resources to use and she apparently didnt use them,1.0,1,0.333333333,3,i think he tried to help her.  he gave her resources to use and she apparently didn't use them.,19,92,1,0.26229767051842273,0.18161429264731918,0.0,0.0,0.0,0.01,4.32,0.01,0.0,0.01,0.01,0.0,0.05,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.03,0.0,0.03,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.01,0.0,0.02,0.0,0.01,0.0,0.01,0.0,0.06,0.0,0.0,0.01,0.01,0.05,0.02,0.0,0.0,0.0,0.0,0.01,0.1,0.0,0,0,0.7894736842105263,0.05263157894736842,0,0.0,0,0.35,0.05,0.9424,easy,8.84,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
0,0,0,5d6feec65f80ae21f5c5f054,spryOrangutan,2020-04-20 18:30:49.913000+00:00,older people can have a hard time because of brain intelligence and cognitive limits its not so easy to just read a book or dictionary after a certain point,1.0,1,0.333333333,3,older people can have a hard time because of brain. intelligence and cognitive limits. it's not so easy to just read a book or dictionary after a certain point.,29,156,1,1.2174908938739077,1.0849479917278981,0.0,0.0,0.0,0.04,8.28,0.01,0.01,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.030000000000000002,0.0,0.01,0.02,0.0,0.0,0.04,0.0,0.01,0.0,0.01,0.01,0.0,0.02,0.0,0.01,0.0,0.0,0.01,0.01,0.030000000000000002,0.02,0.0,0.030000000000000002,0.04,0.02,0.07,0.030000000000000002,0.0,0.01,0.0,0.049999999999999996,0.0,0.15000000000000002,0.0,0,0,0.9310344827586207,0.0,2,0.0,0,0.5699404761904763,0.1306547619047619,1.9828827586206894,easy,29.882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
0,0,0,5e31d6e4e31c5304c46f1413,culturedCow,2020-04-20 18:30:50.048000+00:00,i dont think hes an asshole for having the feelings he does but i do think he is a bit of an asshole for handling it the way that he did without discussing it with his wife first or maybe finding a better way to approach it,1.0,1,0.333333333,3,"i don't think he's an asshole for having the feelings he does, but i do think he is a bit of an asshole for handling it the way that he did without discussing it with his wife first or maybe finding a better way to approach it.",47,223,1,2.6068628551182496,2.398887917663285,0.0,0.0,0.0,0.02,3.79,0.01,0.0,0.02,0.01,0.0,0.049999999999999996,0.02,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.01,0.01,0.04,0.0,0.07,0.0,0.01,0.04,0.0,0.0,0.0,0.07,0.04,0.0,0.0,0.0,0.0,0.02,0.02,0.01,0.02,0.030000000000000002,0.09,0.0,0.060000000000000005,0.01,0.07,0.09,0.060000000000000005,0.0,0.01,0.0,0.030000000000000002,0.02,0.28,0.01,0,0,0.7446808510638298,0.0425531914893617,5,0.0,1,0.41666666666666663,0.375,2.3312,easy,0.135,0,0,1,0,1,0,0,0,0,0,1,1,0,0,0,0,1,1,0,0,0
